,maoyanID,name,release_date,online_days,rating,box_week_million,box_million,box_day_million,week_want_thousand,IMAX,gen_科幻,gen_纪录片,gen_爱情,gen_悬疑,gen_冒险,gen_喜剧,gen_恐怖,gen_动作,gen_惊悚,gen_动画,gen_家庭,gen_剧情,gen_奇幻,gen_犯罪,spring,labor,summer,national,region_中国大陆,region_中国港澳台,region_美国,region_日本,region_印度,region_其他,director_famous,actor_famous,IP_rewrite,box_week,box,box_day,week_want
229,79115,守望一生,2018/9/10,1,7,0.102,0.148,0.053,0.425,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,102000,148000,53000,425
188,1208343,毕业旅行笑翻天,2018/2/1,8,7.8,0.171,0.218,0.121,0.785,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,171000,218000,121000,785
239,1242941,夜魔奇案,2018/12/21,7,6.7,0.149,0.23,0.083,0.647,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,149000,230000,83000,647
248,1220437,梦境之源,2018/11/16,7,6.3,0.199,0.288,0.12,1.381,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,199000,288000,120000,1381
265,1213057,无迹可寻,2018/2/9,28,4.5,0.156,0.362,0.088,0.359,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,156000,362000,88000,359
325,1225543,魔神Z,2019/3/8,7,8.4,0.284,0.408,0.093,4.948,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,1,284000,408000,93000,4948
251,346336,冰封迷案,2018/4/20,8,5.8,0.255,0.519,0.091,1.014,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,255000,519000,91000,1014
213,341999,盲·道,2018/2/2,12,7.4,0.237,0.524,0.134,1.478,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,237000,524000,134000,1478
170,344551,清水里的刀子,2018/4/4,9,8,0.303,0.582,0.102,1.857,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,303000,582000,102000,1857
261,344419,七号公馆,2018/5/11,28,5.1,0.291,0.616,0.117,3.028,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,0,291000,616000,117000,3028
