,maoyanID,name,release_date,region,rating,box,box_day,box_week,week_want,special_date,IMAX,gen_爱情,gen_动画,gen_科幻,gen_惊悚,gen_犯罪,gen_悬疑,gen_家庭,gen_纪录片,gen_喜剧,gen_动作,gen_奇幻,gen_冒险,gen_剧情,gen_恐怖,region_中国大陆,region_中国港澳台,region_美国,region_日本,region_印度,region_其他,director_famous,actor_famous,IP_rewrite
0,1200486,我不是药神,2018/7/5,"中国大陆
",9.6,3100000000,159000000,1238000000,131164,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,1,0
1,1217637,厉害了，我的国,2018/3/2,"中国大陆
",9.6,480000000,38271000,92989000,17716,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,0,1
2,343136,小萝莉的猴神大叔,2018/3/2,"印度
",9.5,285000000,14152000,54091000,12104,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,0
4,249342,海王,2018/12/7,"美国
",9.4,2012000000,156000000,652000000,69232,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,1,1
5,1182552,红海行动,2018/2/16,"中国大陆,中国香港
",9.4,3650000000,129000000,465000000,40627,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,0,0,0,0,1,1,0
6,493549,大寒,2018/8/14,"中国大陆
",9.4,6696000,73000,158000,5616,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,0,0,0,0,1
8,1229020,嗝嗝老师,2018/10/12,"印度
",9.3,149000000,5056000,29223000,5290,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,0
9,42964,毒液：致命守护者,2018/11/9,"美国
",9.2,1870000000,223000000,766000000,104280,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,0,0,0,0,0,1
10,1212592,西虹市首富,2018/7/27,"中国大陆
",9.2,2547000000,227000000,903000000,146086,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,0,0,0,1,0
12,345870,传奇的诞生,2018/9/7,"美国
",9.2,28276000,4658000,17308000,8683,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0
13,439495,苏丹,2018/8/31,"印度
",9.2,36144000,6257000,20480000,13104,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0
14,1215919,印度合伙人,2018/12/14,"印度
",9.2,67553000,10197000,35935000,10102,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0
15,1205514,雪怪大冒险,2018/10/19,"美国
",9.2,75084000,2273000,27135000,3389,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,0,0,0,0,0,0
16,123,龙猫,2018/12/14,"日本
",9.1,173000000,18784000,89631000,63291,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,1,0,0,1,0,0
