,maoyanID,name,rating,box,box_day,box_week,release_date,IMAX,reg_美国,reg_中国大陆,reg_日本,reg_印度,reg_中国港澳台,week_want,online_days,weibo_topic,gen_爱情,gen_剧情,gen_奇幻,gen_传记,gen_家庭,gen_悬疑,gen_恐怖,gen_犯罪,gen_科幻,gen_灾难,gen_历史,gen_冒险,gen_动画,gen_运动,gen_动作,gen_古装,gen_战争,gen_喜剧,gen_音乐,gen_纪录片,gen_惊悚,spring,labor,summer,national
11,246211,老炮儿,9.1,898000000.0,55009000.0,253000000.0,2015-12-24 00:00:00,False,False,True,False,False,False,53417.0,50.0,80470000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
14,246363,末日崩塌,9.1,629000000.0,34112000.0,318000000.0,2015-06-02 00:00:00,True,True,False,False,False,False,18338.0,32.0,9.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
16,75090,碟中谍5：神秘国度,9.0,869000000.0,108000000.0,553000000.0,2015-09-08 00:00:00,True,True,True,False,False,True,106499.0,31.0,900000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
75,246540,既然青春留不住,8.2,50203000.0,9301000.0,28327000.0,2015-10-23 00:00:00,False,False,True,False,False,False,34696.0,22.0,4776.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
92,246581,恶棍天使,8.0,648000000.0,152000000.0,508000000.0,2015-12-24 00:00:00,False,False,True,False,False,False,184402.0,37.0,2570000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
107,246210,左耳,7.9,485000000.0,55240000.0,198000000.0,2015-04-24 00:00:00,False,False,True,False,False,False,39136.0,56.0,47130000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
108,341347,男神时代,7.9,8258000.0,2246000.0,7762000.0,2015-09-02 00:00:00,False,False,True,False,False,False,15441.0,15.0,150000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
132,338503,怦然星动,7.6,159000000.0,25967000.0,98719000.0,2015-12-03 00:00:00,False,False,True,False,False,False,66160.0,29.0,38790000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
348,246081,消失的凶手,6.4,76976000.0,15016000.0,40109000.0,2015-11-27 00:00:00,False,False,True,False,False,True,13163.0,22.0,320000.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
372,246088,九层妖塔,5.7,682000000.0,91523000.0,423000000.00000006,2015-09-30 00:00:00,False,False,True,False,False,False,121363.0,42.0,990000.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
382,78601,冲上云霄,5.2,155000000.0,22953000.0,79456000.0,2015-02-19 00:00:00,False,False,True,False,False,True,11424.0,29.0,5760000.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
404,246286,疯狂动物城,9.5,1527000000.0,22426000.0,155000000.0,2016-03-04 00:00:00,True,True,False,False,False,False,25517.0,46.0,5001.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
408,344881,你的名字。,9.2,575000000.0,76291000.0,286000000.0,2016-12-02 00:00:00,False,False,False,True,False,False,97237.0,61.0,2480000.0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
410,246222,海洋奇缘,9.1,226000000.0,13316000.0,85455000.0,2016-11-25 00:00:00,False,True,False,False,False,False,23061.0,62.0,19.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
411,1132973,生门,9.1,1579000.0,181000.0,389000.0,2016-12-16 00:00:00,False,False,True,False,False,False,1031.0,7.0,1080000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
413,246063,美人鱼,9.0,3386000000.0,271000000.0,1819000000.0,2016-02-08 00:00:00,False,False,True,False,False,True,137903.0,78.0,7390000.000000001,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
414,78421,魔兽,9.0,1468000000.0,250000000.0,1028000000.0,2016-06-08 00:00:00,True,True,True,True,False,False,86886.0,31.0,1670000.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
415,78535,功夫熊猫3,9.0,1000000000.0,107000000.0,339000000.0,2016-01-29 00:00:00,True,True,True,False,False,False,53213.0,79.0,5420000.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
417,338351,爱宠大机密,9.0,388000000.0,34396000.0,194000000.0,2016-08-02 00:00:00,False,True,False,False,False,False,32836.0,48.0,2700000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
421,338401,魔发精灵,9.0,54662000.0,4443000.0,32518000.0,2016-10-28 00:00:00,False,True,False,False,False,False,6614.0,30.0,1240000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
422,1182216,爱神箭,9.0,608000.0,151000.0,415000.0,2016-10-14 00:00:00,False,False,True,False,False,False,444.0,7.0,9431.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
424,246124,奇异博士,8.9,750000000.0,81435000.0,299000000.0,2016-11-04 00:00:00,True,True,False,False,False,False,39646.0,31.0,8199.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
426,246970,奇幻森林,8.9,976000000.0,78037000.0,318000000.0,2016-04-15 00:00:00,True,True,False,False,False,False,52525.0,32.0,545.0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
428,344961,逗鸟外传：萌宝满天飞,8.9,77616000.0,4893000.0,34806000.0,2016-09-23 00:00:00,True,True,False,False,False,False,5666.0,31.0,160000.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
431,342003,萨利机长,8.8,62150000.0,10957000.0,38001000.0,2016-12-09 00:00:00,True,True,False,False,False,False,9238.0,29.0,1190000.0,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
437,338443,机械师2：复活,8.7,338000000.0,51648000.0,166000000.0,2016-10-21 00:00:00,False,True,False,False,False,False,36244.0,32.0,3370000.0000000005,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
441,341120,七月与安生,8.7,166000000.0,10020000.0,72341000.0,2016-09-14 00:00:00,False,False,True,False,False,True,14098.0,38.0,13969999.999999998,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
442,345755,鲁滨逊漂流记,8.7,53576000.0,9538000.0,39989000.0,2016-10-04 00:00:00,False,False,False,False,False,False,11804.0,31.0,8459.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
444,346759,勇士,8.7,33181000.0,8442000.0,20160000.0,2016-10-14 00:00:00,False,False,True,False,False,False,3105.0,31.0,5460000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
